gene_pairs,score
O15055_Q15910,0.1799
P56645_Q09472,0.1774
O15055_Q92793,0.1595
O15055_O75376,0.1765
P56645_Q15910,0.1692
O75376_P56645,0.1755
O15534_Q15910,0.1769
O15055_Q99814,0.1671
O15055_O96017,0.179
Q09472_Q8WYA1,0.1708
Q49AN0_Q92793,0.1295
Q15910_Q99743,0.1515
P20393_Q09472,0.11774
Q09472_Q14995,0.1515
O15516_O75376,0.1504
O75376_Q99743,0.226
P56645_Q16665,0.127
P51449_Q15910,0.1289
Q14995_Q15910,0.1467
Q8WYA1_Q92793,0.2034
O00327_O75376,0.347
O15516_Q9Y618,0.1873
O15534_Q92753,0.2334
P20393_Q92793,0.11255
Q14995_Q92793,0.1246
P23246_P56645,0.1129
O00327_Q9Y618,0.211
P56645_Q15233,0.1755
Q99743_Q9BZK7,0.299
O15534_P51449,0.1687
O00327_Q969H0,0.2002
O15534_P20393,0.1327
O00327_P38398,0.1407
P20393_Q969H0,0.1829
P20393_Q99814,0.191
O15534_Q15233,0.1858
O00327_P06239,0.0826
O15055_P15172,0.1074
P06239_P51449,0.08044
O96017_P20393,0.1647
Q14995_Q16665,0.1282
O00327_P23246,0.353
P15172_P56645,0.06866
O00327_Q15233,0.3616
P20393_Q15233,0.2554
P15172_Q49AN0,0.05768
P15172_Q16526,0.0719
O00327_P15172,0.05264
P15172_P20393,0.07635
P15172_Q14995,0.0636
