gene_pairs,uniprot_pairs,score
CRY2_EPAS1,Q49AN0_Q99814,0.1993
CRY1_NONO,Q16526_Q15233,0.1978
NONO_CRY1,Q15233_Q16526,0.1978
CRY2_NCOR1,Q49AN0_O75376,0.1971
NCOR1_CRY2,O75376_Q49AN0,0.1971
CRY1_EP300,Q16526_Q09472,0.1967
EP300_CRY1,Q09472_Q16526,0.1967
ARNTL_PER3,O00327_P56645,0.1964
PER3_ARNTL,P56645_O00327,0.1964
EPAS1_ARNTL,Q99814_O00327,0.196
ARNTL_EPAS1,O00327_Q99814,0.196
CHEK2_CRY1,O96017_Q16526,0.1956
CRY1_CHEK2,Q16526_O96017,0.1956
NPAS2_CREBBP,Q99743_Q92793,0.1943
CREBBP_NPAS2,Q92793_Q99743,0.1943
EP300_NPAS2,Q09472_Q99743,0.1929
NPAS2_EP300,Q99743_Q09472,0.1929
CRY1_EPAS1,Q16526_Q99814,0.192
EPAS1_CRY1,Q99814_Q16526,0.192
MLH1_ARNTL,P40692_O00327,0.1914
ARNTL_MLH1,O00327_P40692,0.1914
EPAS1_NR1D1,Q99814_P20393,0.191
NR1D1_EPAS1,P20393_Q99814,0.191
NCOR1_RORB,O75376_Q92753,0.1909
RORB_NCOR1,Q92753_O75376,0.1909
CLOCK_EP300,O15516_Q09472,0.1906
EP300_CLOCK,Q09472_O15516,0.1906
NR1D2_PER3,Q14995_P56645,0.1895
PER3_NR1D2,P56645_Q14995,0.1895
PER2_NPAS2,O15055_Q99743,0.1886
NPAS2_PER2,Q99743_O15055,0.1886
CRY1_MLH1,Q16526_P40692,0.1876
MLH1_CRY1,P40692_Q16526,0.1876
CLOCK_NCOR2,O15516_Q9Y618,0.1873
NCOR2_CLOCK,Q9Y618_O15516,0.1873
SFPQ_NPAS2,P23246_Q99743,0.1871
NPAS2_SFPQ,Q99743_P23246,0.1871
NONO_ARNTL2,Q15233_Q8WYA1,0.187
ARNTL2_NONO,Q8WYA1_Q15233,0.187
CRY2_HNRNPA2B1,Q49AN0_P22626,0.1868
HNRNPA2B1_CRY2,P22626_Q49AN0,0.1868
SFPQ_CRY1,P23246_Q16526,0.1865
CRY1_SFPQ,Q16526_P23246,0.1865
NONO_PER1,Q15233_O15534,0.1858
PER1_NONO,O15534_Q15233,0.1858
CRY2_DDX3X,Q49AN0_O00571,0.1854
DDX3X_CRY2,O00571_Q49AN0,0.1854
FBXW7_NR1D1,Q969H0_P20393,0.1829
NR1D1_FBXW7,P20393_Q969H0,0.1829
CLOCK_EZH2,O15516_Q15910,0.1826
EZH2_CLOCK,Q15910_O15516,0.1826
EZH2_ARNTL,Q15910_O00327,0.181
ARNTL_EZH2,O00327_Q15910,0.181
PPP2R1A_CRY1,P30153_Q16526,0.1804
CRY1_PPP2R1A,Q16526_P30153,0.1804
CLOCK_CREBBP,O15516_Q92793,0.1802
CREBBP_CLOCK,Q92793_O15516,0.1802
ARNTL2_ARNTL,Q8WYA1_O00327,0.18
ARNTL_ARNTL2,O00327_Q8WYA1,0.18
PER2_EZH2,O15055_Q15910,0.1799
EZH2_PER2,Q15910_O15055,0.1799
PER2_CHEK2,O15055_O96017,0.179
CHEK2_PER2,O96017_O15055,0.179
NPAS2_CLOCK,Q99743_O15516,0.1782
CLOCK_NPAS2,O15516_Q99743,0.1782
PER3_EP300,P56645_Q09472,0.1774
EP300_PER3,Q09472_P56645,0.1774
PER1_EZH2,O15534_Q15910,0.1769
EZH2_PER1,Q15910_O15534,0.1769
HNRNPA2B1_CRY1,P22626_Q16526,0.1766
CRY1_HNRNPA2B1,Q16526_P22626,0.1766
PER2_NCOR1,O15055_O75376,0.1765
NCOR1_PER2,O75376_O15055,0.1765
RORC_CHEK2,P51449_O96017,0.176
CHEK2_RORC,O96017_P51449,0.176
NCOR1_PER3,O75376_P56645,0.1755
PER3_NONO,P56645_Q15233,0.1755
NONO_PER3,Q15233_P56645,0.1755
PER3_NCOR1,P56645_O75376,0.1755
NR1D1_RORB,P20393_Q92753,0.1754
RORB_NR1D1,Q92753_P20393,0.1754
MLH1_PER2,P40692_O15055,0.1753
PER2_MLH1,O15055_P40692,0.1753
CRY1_NPM1,Q16526_P06748,0.175
NPM1_CRY1,P06748_Q16526,0.175
NR1D2_CHEK2,Q14995_O96017,0.174
CHEK2_NR1D2,O96017_Q14995,0.174
RORB_PER3,Q92753_P56645,0.1738
PER3_RORB,P56645_Q92753,0.1738
RORA_NR1D2,P35398_Q14995,0.172
NR1D2_RORA,Q14995_P35398,0.172
EP300_RORB,Q09472_Q92753,0.1714
RORB_EP300,Q92753_Q09472,0.1714
ARNTL2_PER3,Q8WYA1_P56645,0.1711
PER3_ARNTL2,P56645_Q8WYA1,0.1711
ARNTL2_EP300,Q8WYA1_Q09472,0.1708
EP300_ARNTL2,Q09472_Q8WYA1,0.1708
EP300_RORA,Q09472_P35398,0.1698
RORA_EP300,P35398_Q09472,0.1698
EZH2_PER3,Q15910_P56645,0.1692
PER3_EZH2,P56645_Q15910,0.1692
EIF3E_CRY1,P60228_Q16526,0.1688
CRY1_EIF3E,Q16526_P60228,0.1688
PER1_RORC,O15534_P51449,0.1687
RORC_PER1,P51449_O15534,0.1687
PER2_EPAS1,O15055_Q99814,0.1671
EPAS1_PER2,Q99814_O15055,0.1671
PER3_CHEK2,P56645_O96017,0.1669
CHEK2_PER3,O96017_P56645,0.1669
NR1D1_CHEK2,P20393_O96017,0.1647
CHEK2_NR1D1,O96017_P20393,0.1647
TP53_CLOCK,Q12888_O15516,0.1642
CLOCK_TP53,O15516_Q12888,0.1642
CRY2_NPAS2,Q49AN0_Q99743,0.163
NPAS2_CRY2,Q99743_Q49AN0,0.163
CRY2_PPP2R1A,Q49AN0_P30153,0.1625
PPP2R1A_CRY2,P30153_Q49AN0,0.1625
EZR_PER2,P15311_O15055,0.1622
PER2_EZR,O15055_P15311,0.1622
PER1_MAX,O15534_P61244,0.162
MAX_PER1,P61244_O15534,0.162
EP300_PER2,Q09472_O15055,0.1617
PER2_EP300,O15055_Q09472,0.1617
PER2_ARNTL2,O15055_Q8WYA1,0.1614
ARNTL2_PER2,Q8WYA1_O15055,0.1614
EP300_CRY2,Q09472_Q49AN0,0.161
CRY2_EP300,Q49AN0_Q09472,0.161
HNRNPA2B1_NPAS2,P22626_Q99743,0.1609
NPAS2_HNRNPA2B1,Q99743_P22626,0.1609
RORC_CRY2,P51449_Q49AN0,0.1608
CRY2_RORC,Q49AN0_P51449,0.1608
NCOR1_CRY1,O75376_Q16526,0.1605
CRY1_NCOR1,Q16526_O75376,0.1605
NCOR2_NR1D2,Q9Y618_Q14995,0.16
NR1D2_NCOR2,Q14995_Q9Y618,0.16
CREBBP_PER2,Q92793_O15055,0.1595
PER2_CREBBP,O15055_Q92793,0.1595
CRY2_RORB,Q49AN0_Q92753,0.1589
RORB_CRY2,Q92753_Q49AN0,0.1589
CRY1_CLOCK,Q16526_O15516,0.1588
CLOCK_CRY1,O15516_Q16526,0.1588
TBL1XR1_ARNTL,Q9BZK7_O00327,0.158
ARNTL_TBL1XR1,O00327_Q9BZK7,0.158
NR1D2_PER1,Q14995_O15534,0.1576
PER1_NR1D2,O15534_Q14995,0.1576
NCOR2_RORB,Q9Y618_Q92753,0.1575
RORB_NCOR2,Q92753_Q9Y618,0.1575
CRY2_CLTC,Q49AN0_Q00610,0.1572
CLTC_CRY2,Q00610_Q49AN0,0.1572
PER1_CLOCK,O15534_O15516,0.1565
CLOCK_PER1,O15516_O15534,0.1565
RORB_PER2,Q92753_O15055,0.1559
NPAS2_PER1,Q99743_O15534,0.1559
PER1_NPAS2,O15534_Q99743,0.1559
PER2_RORB,O15055_Q92753,0.1559
HIF1A_RORB,Q16665_Q92753,0.1555
RORB_HIF1A,Q92753_Q16665,0.1555
CRY1_NR1D1,Q16526_P20393,0.1545
NR1D1_CRY1,P20393_Q16526,0.1545
ARNTL_CREBBP,O00327_Q92793,0.154
CREBBP_ARNTL,Q92793_O00327,0.154
EPAS1_ARNTL2,Q99814_Q8WYA1,0.1536
ARNTL2_EPAS1,Q8WYA1_Q99814,0.1536
CRY2_CRY1,Q49AN0_Q16526,0.1536
CRY1_CRY2,Q16526_Q49AN0,0.1536
RORC_PER2,P51449_O15055,0.1532
PER2_RORC,O15055_P51449,0.1532
ARNTL_EP300,O00327_Q09472,0.1528
EP300_ARNTL,Q09472_O00327,0.1528
PER1_PER3,O15534_P56645,0.1525
PER3_PER1,P56645_O15534,0.1525
CLOCK_CRY2,O15516_Q49AN0,0.1523
CRY2_CLOCK,Q49AN0_O15516,0.1523
NPAS2_EZH2,Q99743_Q15910,0.1515
EP300_NR1D2,Q09472_Q14995,0.1515
CRY1_DDX3X,Q16526_O00571,0.1515
EZH2_NPAS2,Q15910_Q99743,0.1515
NCOR2_RORC,Q9Y618_P51449,0.1515
DDX3X_CRY1,O00571_Q16526,0.1515
CRY1_LCK,Q16526_P06239,0.1515
NR1D2_EP300,Q14995_Q09472,0.1515
LCK_CRY1,P06239_Q16526,0.1515
RORC_NCOR2,P51449_Q9Y618,0.1515
PER2_PER1,O15055_O15534,0.1509
PER1_PER2,O15534_O15055,0.1509
EIF3E_CRY2,P60228_Q49AN0,0.1508
CRY2_EIF3E,Q49AN0_P60228,0.1508
CLOCK_NCOR1,O15516_O75376,0.1504
NCOR1_CLOCK,O75376_O15516,0.1504
PER3_NR1D1,P56645_P20393,0.15
NR1D1_PER3,P20393_P56645,0.15
CLTC_PER2,Q00610_O15055,0.1498
PER2_CLTC,O15055_Q00610,0.1498
EPAS1_CLOCK,Q99814_O15516,0.1493
CLOCK_EPAS1,O15516_Q99814,0.1493
CLTC_CRY1,Q00610_Q16526,0.1489
NPAS2_CHEK2,Q99743_O96017,0.1489
CHEK2_NPAS2,O96017_Q99743,0.1489
CRY1_CLTC,Q16526_Q00610,0.1489
LMNA_CRY2,P02545_Q49AN0,0.1484
CRY2_LMNA,Q49AN0_P02545,0.1484
PER3_CRY2,P56645_Q49AN0,0.148
CRY2_PER3,Q49AN0_P56645,0.148
CRY1_PER2,Q16526_O15055,0.1478
PER2_CRY1,O15055_Q16526,0.1478
PER2_CLOCK,O15055_O15516,0.1475
CLOCK_PER2,O15516_O15055,0.1475
PER2_NR1D1,O15055_P20393,0.147
NR1D1_PER2,P20393_O15055,0.147
CREBBP_CRY1,Q92793_Q16526,0.1469
CRY1_CREBBP,Q16526_Q92793,0.1469
NR1D2_EZH2,Q14995_Q15910,0.1467
EZH2_NR1D2,Q15910_Q14995,0.1467
CRY2_MAX,Q49AN0_P61244,0.1462
MAX_CRY2,P61244_Q49AN0,0.1462
PER2_NR1D2,O15055_Q14995,0.1461
NR1D2_PER2,Q14995_O15055,0.1461
CRY2_EZH2,Q49AN0_Q15910,0.146
EZH2_CRY2,Q15910_Q49AN0,0.146
PER2_NONO,O15055_Q15233,0.1458
NONO_PER2,Q15233_O15055,0.1458
ARNTL2_PER1,Q8WYA1_O15534,0.1451
PER1_ARNTL2,O15534_Q8WYA1,0.1451
RORA_CLOCK,P35398_O15516,0.144
CLOCK_RORA,O15516_P35398,0.144
PER2_EIF3E,O15055_P60228,0.1439
EIF3E_PER2,P60228_O15055,0.1439
CRY1_SDHA,Q16526_P31040,0.1438
SDHA_CRY1,P31040_Q16526,0.1438
PER3_CRY1,P56645_Q16526,0.1426
CRY1_PER3,Q16526_P56645,0.1426
SFPQ_ARNTL2,P23246_Q8WYA1,0.1425
ARNTL2_SFPQ,Q8WYA1_P23246,0.1425
CRY1_NR1D2,Q16526_Q14995,0.1414
RORC_PER3,P51449_P56645,0.1414
NR1D2_CRY1,Q14995_Q16526,0.1414
PER3_RORC,P56645_P51449,0.1414
BRCA1_ARNTL,P38398_O00327,0.1407
ARNTL_BRCA1,O00327_P38398,0.1407
CRY2_LCK,Q49AN0_P06239,0.1405
LCK_CRY2,P06239_Q49AN0,0.1405
PER3_PER2,P56645_O15055,0.1401
PER2_PER3,O15055_P56645,0.1401
CLOCK_CHEK2,O15516_O96017,0.1395
CHEK2_CLOCK,O96017_O15516,0.1395
EZH2_CRY1,Q15910_Q16526,0.1393
CRY1_EZH2,Q16526_Q15910,0.1393
ARNTL2_CHEK2,Q8WYA1_O96017,0.1389
CHEK2_ARNTL2,O96017_Q8WYA1,0.1389
HNRNPA2B1_RORB,P22626_Q92753,0.1388
RORB_HNRNPA2B1,Q92753_P22626,0.1388
RORA_HIF1A,P35398_Q16665,0.1384
HIF1A_RORA,Q16665_P35398,0.1384
ARNTL2_DDX3X,Q8WYA1_O00571,0.138
CRY1_FBXW7,Q16526_Q969H0,0.138
FBXW7_CRY1,Q969H0_Q16526,0.138
DDX3X_ARNTL2,O00571_Q8WYA1,0.138
CRY2_NR1D2,Q49AN0_Q14995,0.1364
NR1D2_CRY2,Q14995_Q49AN0,0.1364
CLOCK_PER3,O15516_P56645,0.1361
PER3_CLOCK,P56645_O15516,0.1361
RORC_PPP2R1A,P51449_P30153,0.1359
PPP2R1A_RORC,P30153_P51449,0.1359
NCOR2_CRY1,Q9Y618_Q16526,0.1354
CRY1_NCOR2,Q16526_Q9Y618,0.1354
NR1D1_HIF1A,P20393_Q16665,0.135
RORB_CHEK2,Q92753_O96017,0.135
CHEK2_RORB,O96017_Q92753,0.135
HIF1A_NR1D1,Q16665_P20393,0.135
RORB_CRY1,Q92753_Q16526,0.1349
LMNA_ARNTL2,P02545_Q8WYA1,0.1349
ARNTL2_LMNA,Q8WYA1_P02545,0.1349
CRY1_RORB,Q16526_Q92753,0.1349
CRY2_PER2,Q49AN0_O15055,0.1334
PER2_CRY2,O15055_Q49AN0,0.1334
SDHA_CRY2,P31040_Q49AN0,0.1329
CRY2_SDHA,Q49AN0_P31040,0.1329
PER2_ARNTL,O15055_O00327,0.1327
ARNTL_PER2,O00327_O15055,0.1327
NR1D1_PER1,P20393_O15534,0.1327
PER1_NR1D1,O15534_P20393,0.1327
RORB_NR1D2,Q92753_Q14995,0.1321
NR1D2_RORB,Q14995_Q92753,0.1321
CHEK2_RORA,O96017_P35398,0.1316
RORA_CHEK2,P35398_O96017,0.1316
PER1_CRY1,O15534_Q16526,0.1313
CRY1_PER1,Q16526_O15534,0.1313
CRY2_ARNTL,Q49AN0_O00327,0.131
ARNTL_CRY2,O00327_Q49AN0,0.131
CLOCK_CBLB,O15516_Q13191,0.1304
CBLB_CLOCK,Q13191_O15516,0.1304
CREBBP_CRY2,Q92793_Q49AN0,0.1295
CRY2_CREBBP,Q49AN0_Q92793,0.1295
CRY1_ARNTL2,Q16526_Q8WYA1,0.1294
ARNTL2_CRY1,Q8WYA1_Q16526,0.1294
RORC_EZH2,P51449_Q15910,0.1289
EZH2_RORC,Q15910_P51449,0.1289
CLOCK_HIF1A,O15516_Q16665,0.1287
HIF1A_CLOCK,Q16665_O15516,0.1287
CLOCK_DDX3X,O15516_O00571,0.1284
DDX3X_CLOCK,O00571_O15516,0.1284
HIF1A_NR1D2,Q16665_Q14995,0.1282
NR1D2_HIF1A,Q14995_Q16665,0.1282
RORC_NONO,P51449_Q15233,0.1279
NONO_RORC,Q15233_P51449,0.1279
MLH1_CRY2,P40692_Q49AN0,0.1278
CRY2_MLH1,Q49AN0_P40692,0.1278
PER3_HIF1A,P56645_Q16665,0.127
HIF1A_PER3,Q16665_P56645,0.127
HNRNPA2B1_RORC,P22626_P51449,0.1268
RORC_HNRNPA2B1,P51449_P22626,0.1268
CBLB_CRY1,Q13191_Q16526,0.1267
CRY1_CBLB,Q16526_Q13191,0.1267
RORC_EP300,P51449_Q09472,0.1263
EP300_RORC,Q09472_P51449,0.1263
RORC_HIF1A,P51449_Q16665,0.1262
HIF1A_RORC,Q16665_P51449,0.1262
CRY2_PER1,Q49AN0_O15534,0.1254
PER1_CRY2,O15534_Q49AN0,0.1254
PER2_HNRNPA2B1,O15055_P22626,0.1251
HNRNPA2B1_PER2,P22626_O15055,0.1251
CRY2_TBL1XR1,Q49AN0_Q9BZK7,0.1246
NR1D2_CREBBP,Q14995_Q92793,0.1246
TBL1XR1_CRY2,Q9BZK7_Q49AN0,0.1246
CREBBP_NR1D2,Q92793_Q14995,0.1246
RORC_MLH1,P51449_P40692,0.1245
MLH1_RORC,P40692_P51449,0.1245
NR1D1_ARNTL,P20393_O00327,0.12366
ARNTL_NR1D1,O00327_P20393,0.12366
CRY2_BRCA1,Q49AN0_P38398,0.1231
BRCA1_CRY2,P38398_Q49AN0,0.1231
MLH1_RORB,P40692_Q92753,0.123
RORB_MLH1,Q92753_P40692,0.123
HNRNPA2B1_CLOCK,P22626_O15516,0.12286
CLOCK_HNRNPA2B1,O15516_P22626,0.12286
ARNTL2_CRY2,Q8WYA1_Q49AN0,0.1224
CRY2_ARNTL2,Q49AN0_Q8WYA1,0.1224
PER1_ARNTL,O15534_O00327,0.1222
ARNTL_PER1,O00327_O15534,0.1222
CREBBP_RORA,Q92793_P35398,0.12195
RORA_CREBBP,P35398_Q92793,0.12195
NR1D1_RORC,P20393_P51449,0.12146
RORC_NR1D1,P51449_P20393,0.12146
RORB_CLOCK,Q92753_O15516,0.11975
CLOCK_RORB,O15516_Q92753,0.11975
NPAS2_RORC,Q99743_P51449,0.1192
RORC_NPAS2,P51449_Q99743,0.1192
NPAS2_RORA,Q99743_P35398,0.11865
RORA_NPAS2,P35398_Q99743,0.11865
CLOCK_RORC,O15516_P51449,0.11804
RORC_CLOCK,P51449_O15516,0.11804
NR1D1_EP300,P20393_Q09472,0.11774
EP300_NR1D1,Q09472_P20393,0.11774
LCK_RORB,P06239_Q92753,0.1175
RORB_LCK,Q92753_P06239,0.1175
EIF3E_CLOCK,P60228_O15516,0.1174
CLOCK_EIF3E,O15516_P60228,0.1174
CRY2_NCOR2,Q49AN0_Q9Y618,0.11725
NCOR2_CRY2,Q9Y618_Q49AN0,0.11725
HIF1A_ARNTL2,Q16665_Q8WYA1,0.1172
ARNTL2_HIF1A,Q8WYA1_Q16665,0.1172
EZH2_RORA,Q15910_P35398,0.1158
RORA_EZH2,P35398_Q15910,0.1158
CRY1_ARNTL,Q16526_O00327,0.11523
ARNTL_CRY1,O00327_Q16526,0.11523
SFPQ_PER2,P23246_O15055,0.1132
PER2_SFPQ,O15055_P23246,0.1132
PER3_SFPQ,P56645_P23246,0.1129
SFPQ_PER3,P23246_P56645,0.1129
NR1D1_CREBBP,P20393_Q92793,0.11255
CREBBP_NR1D1,Q92793_P20393,0.11255
RORA_HNRNPA2B1,P35398_P22626,0.1121
HNRNPA2B1_RORA,P22626_P35398,0.1121
ARNTL_CHEK2,O00327_O96017,0.11084
CHEK2_ARNTL,O96017_O00327,0.11084
CRY2_NR1D1,Q49AN0_P20393,0.1107
NR1D1_CRY2,P20393_Q49AN0,0.1107
CRY1_RORC,Q16526_P51449,0.10925
RORC_CRY1,P51449_Q16526,0.10925
NPAS2_NR1D2,Q99743_Q14995,0.10913
NR1D2_NPAS2,Q14995_Q99743,0.10913
HNRNPA2B1_NR1D2,P22626_Q14995,0.1091
NR1D2_HNRNPA2B1,Q14995_P22626,0.1091
MYOD1_PER2,P15172_O15055,0.1074
PER2_MYOD1,O15055_P15172,0.1074
NPAS2_MAX,Q99743_P61244,0.1066
MAX_NPAS2,P61244_Q99743,0.1066
RORC_CREBBP,P51449_Q92793,0.1059
CREBBP_RORC,Q92793_P51449,0.1059
NR1D2_CLOCK,Q14995_O15516,0.1056
CLOCK_NR1D2,O15516_Q14995,0.1056
NR1D2_ARNTL2,Q14995_Q8WYA1,0.1051
ARNTL2_NR1D2,Q8WYA1_Q14995,0.1051
NPM1_NPAS2,P06748_Q99743,0.1041
NPAS2_NPM1,Q99743_P06748,0.1041
RORB_RORC,Q92753_P51449,0.1038
RORC_RORB,P51449_Q92753,0.1038
HIF1A_ARNTL,Q16665_O00327,0.1033
ARNTL_HIF1A,O00327_Q16665,0.1033
MAX_PER3,P61244_P56645,0.10223
PER3_MAX,P56645_P61244,0.10223
NPAS2_HIF1A,Q99743_Q16665,0.10187
HIF1A_NPAS2,Q16665_Q99743,0.10187
NONO_RORB,Q15233_Q92753,0.1001
RORB_NONO,Q92753_Q15233,0.1001
CRY1_MAX,Q16526_P61244,0.09985
MAX_CRY1,P61244_Q16526,0.09985
FBXW7_CRY2,Q969H0_Q49AN0,0.0983
CRY2_FBXW7,Q49AN0_Q969H0,0.0983
NPAS2_RORB,Q99743_Q92753,0.0968
RORB_NPAS2,Q92753_Q99743,0.0968
LMNA_RORC,P02545_P51449,0.09644
RORC_LMNA,P51449_P02545,0.09644
ARNTL2_RORB,Q8WYA1_Q92753,0.0956
RORB_ARNTL2,Q92753_Q8WYA1,0.0956
HNRNPA2B1_PER1,P22626_O15534,0.095
PER1_HNRNPA2B1,O15534_P22626,0.095
CLOCK_NR1D1,O15516_P20393,0.0937
NR1D1_CLOCK,P20393_O15516,0.0937
NR1D1_ARNTL2,P20393_Q8WYA1,0.0936
ARNTL2_NR1D1,Q8WYA1_P20393,0.0936
NPAS2_NR1D1,Q99743_P20393,0.0935
NR1D1_NPAS2,P20393_Q99743,0.0935
HNRNPA2B1_ARNTL2,P22626_Q8WYA1,0.09
ARNTL2_HNRNPA2B1,Q8WYA1_P22626,0.09
ARNTL_HNRNPA2B1,O00327_P22626,0.0856
HNRNPA2B1_ARNTL,P22626_O00327,0.0856
ARNTL_RORB,O00327_Q92753,0.08527
RORB_ARNTL,Q92753_O00327,0.08527
LCK_ARNTL,P06239_O00327,0.0826
ARNTL_LCK,O00327_P06239,0.0826
RHOA_CLOCK,P61586_O15516,0.08167
CLOCK_RHOA,O15516_P61586,0.08167
LCK_RORC,P06239_P51449,0.08044
RORC_LCK,P51449_P06239,0.08044
ARNTL_NR1D2,O00327_Q14995,0.07776
NR1D2_ARNTL,Q14995_O00327,0.07776
NR1D1_MYOD1,P20393_P15172,0.07635
MYOD1_NR1D1,P15172_P20393,0.07635
CRY1_MYOD1,Q16526_P15172,0.0719
MYOD1_CRY1,P15172_Q16526,0.0719
RORC_ARNTL,P51449_O00327,0.07025
ARNTL_RORC,O00327_P51449,0.07025
MYOD1_PER3,P15172_P56645,0.06866
PER3_MYOD1,P56645_P15172,0.06866
MYOD1_NR1D2,P15172_Q14995,0.0636
NR1D2_MYOD1,Q14995_P15172,0.0636
CRY1_RHOA,Q16526_P61586,0.062
RHOA_CRY1,P61586_Q16526,0.062
RHOA_NPAS2,P61586_Q99743,0.06046
NPAS2_RHOA,Q99743_P61586,0.06046
CRY2_MYOD1,Q49AN0_P15172,0.05768
MYOD1_CRY2,P15172_Q49AN0,0.05768
MAX_CLOCK,P61244_O15516,0.05667
CLOCK_MAX,O15516_P61244,0.05667
MYOD1_ARNTL2,P15172_Q8WYA1,0.0555
ARNTL2_MYOD1,Q8WYA1_P15172,0.0555
RORC_ARNTL2,P51449_Q8WYA1,0.05447
