gene_pairs,uniprot_pairs,score
ARNTL2_CRY2,Q8WYA1_Q49AN0,0.1224
ARNTL_PER1,O00327_O15534,0.1222
PER1_ARNTL,O15534_O00327,0.1222
RORC_NR1D1,P51449_P20393,0.12146
NR1D1_RORC,P20393_P51449,0.12146
RORB_CLOCK,Q92753_O15516,0.11975
CLOCK_RORB,O15516_Q92753,0.11975
NPAS2_RORC,Q99743_P51449,0.1192
RORC_NPAS2,P51449_Q99743,0.1192
RORA_NPAS2,P35398_Q99743,0.11865
NPAS2_RORA,Q99743_P35398,0.11865
RORC_CLOCK,P51449_O15516,0.11804
CLOCK_RORC,O15516_P51449,0.11804
ARNTL_CRY1,O00327_Q16526,0.11523
CRY1_ARNTL,Q16526_O00327,0.11523
CRY2_NR1D1,Q49AN0_P20393,0.1107
NR1D1_CRY2,P20393_Q49AN0,0.1107
RORC_CRY1,P51449_Q16526,0.10925
CRY1_RORC,Q16526_P51449,0.10925
NPAS2_NR1D2,Q99743_Q14995,0.10913
NR1D2_NPAS2,Q14995_Q99743,0.10913
NR1D2_CLOCK,Q14995_O15516,0.1056
CLOCK_NR1D2,O15516_Q14995,0.1056
ARNTL2_NR1D2,Q8WYA1_Q14995,0.1051
NR1D2_ARNTL2,Q14995_Q8WYA1,0.1051
RORB_RORC,Q92753_P51449,0.1038
RORC_RORB,P51449_Q92753,0.1038
RORB_NPAS2,Q92753_Q99743,0.0968
NPAS2_RORB,Q99743_Q92753,0.0968
RORB_ARNTL2,Q92753_Q8WYA1,0.0956
ARNTL2_RORB,Q8WYA1_Q92753,0.0956
NR1D1_CLOCK,P20393_O15516,0.0937
CLOCK_NR1D1,O15516_P20393,0.0937
NR1D1_ARNTL2,P20393_Q8WYA1,0.0936
ARNTL2_NR1D1,Q8WYA1_P20393,0.0936
NR1D1_NPAS2,P20393_Q99743,0.0935
NPAS2_NR1D1,Q99743_P20393,0.0935
ARNTL_RORB,O00327_Q92753,0.08527
RORB_ARNTL,Q92753_O00327,0.08527
NR1D2_ARNTL,Q14995_O00327,0.07776
ARNTL_NR1D2,O00327_Q14995,0.07776
ARNTL_RORC,O00327_P51449,0.07025
RORC_ARNTL,P51449_O00327,0.07025
RORC_ARNTL2,P51449_Q8WYA1,0.05447
ARNTL2_RORC,Q8WYA1_P51449,0.05447
