gene_pairs,uniprot_pairs,score
CRY1_ARNTL,Q16526_O00327,0.11523
CRY1_ARNTL2,Q16526_Q8WYA1,0.1294
CRY1_CLOCK,Q16526_O15516,0.1588
CRY1_CRY2,Q16526_Q49AN0,0.1536
CRY1_NPAS2,Q16526_Q99743,0.3005
CRY1_NR1D1,Q16526_P20393,0.1545
CRY1_NR1D2,Q16526_Q14995,0.1414
CRY1_PER1,Q16526_O15534,0.1313
CRY1_PER2,Q16526_O15055,0.1478
CRY1_PER3,Q16526_P56645,0.1426
CRY1_RORB,Q16526_Q92753,0.1349
CRY1_RORC,Q16526_P51449,0.10925
CRY2_ARNTL,Q49AN0_O00327,0.131
CRY2_ARNTL2,Q49AN0_Q8WYA1,0.1224
CRY2_CLOCK,Q49AN0_O15516,0.1523
CRY2_CRY1,Q49AN0_Q16526,0.1536
CRY2_NPAS2,Q49AN0_Q99743,0.163
CRY2_NR1D1,Q49AN0_P20393,0.1107
CRY2_NR1D2,Q49AN0_Q14995,0.1364
CRY2_PER1,Q49AN0_O15534,0.1254
CRY2_PER2,Q49AN0_O15055,0.1334
CRY2_PER3,Q49AN0_P56645,0.148
CRY2_RORB,Q49AN0_Q92753,0.1589
CRY2_RORC,Q49AN0_P51449,0.1608
NPAS2_ARNTL,Q99743_O00327,0.9966
NPAS2_ARNTL2,Q99743_Q8WYA1,0.995
NPAS2_CLOCK,Q99743_O15516,0.1782
NPAS2_CRY1,Q99743_Q16526,0.3005
NPAS2_CRY2,Q99743_Q49AN0,0.163
NPAS2_NR1D1,Q99743_P20393,0.0935
NPAS2_NR1D2,Q99743_Q14995,0.10913
NPAS2_PER1,Q99743_O15534,0.1559
NPAS2_PER2,Q99743_O15055,0.1886
NPAS2_PER3,Q99743_P56645,0.2244
NPAS2_RORA,Q99743_P35398,0.11865
NPAS2_RORB,Q99743_Q92753,0.0968
NPAS2_RORC,Q99743_P51449,0.1192
NR1D1_ARNTL,P20393_O00327,0.12366
NR1D1_ARNTL2,P20393_Q8WYA1,0.0936
NR1D1_CLOCK,P20393_O15516,0.0937
NR1D1_CRY1,P20393_Q16526,0.1545
NR1D1_CRY2,P20393_Q49AN0,0.1107
NR1D1_NPAS2,P20393_Q99743,0.0935
NR1D1_NR1D2,P20393_Q14995,0.391
NR1D1_PER1,P20393_O15534,0.1327
NR1D1_PER2,P20393_O15055,0.147
NR1D1_PER3,P20393_P56645,0.15
NR1D1_RORA,P20393_P35398,0.2842
NR1D1_RORB,P20393_Q92753,0.1754
NR1D1_RORC,P20393_P51449,0.12146
NR1D2_ARNTL,Q14995_O00327,0.07776
NR1D2_ARNTL2,Q14995_Q8WYA1,0.1051
NR1D2_CLOCK,Q14995_O15516,0.1056
NR1D2_CRY1,Q14995_Q16526,0.1414
NR1D2_CRY2,Q14995_Q49AN0,0.1364
NR1D2_NPAS2,Q14995_Q99743,0.10913
NR1D2_NR1D1,Q14995_P20393,0.391
NR1D2_PER1,Q14995_O15534,0.1576
NR1D2_PER2,Q14995_O15055,0.1461
NR1D2_PER3,Q14995_P56645,0.1895
NR1D2_RORA,Q14995_P35398,0.172
NR1D2_RORB,Q14995_Q92753,0.1321
NR1D2_RORC,Q14995_P51449,0.2162
PER1_ARNTL,O15534_O00327,0.1222
PER1_ARNTL2,O15534_Q8WYA1,0.1451
PER1_CLOCK,O15534_O15516,0.1565
PER1_CRY1,O15534_Q16526,0.1313
PER1_CRY2,O15534_Q49AN0,0.1254
PER1_NPAS2,O15534_Q99743,0.1559
PER1_NR1D1,O15534_P20393,0.1327
PER1_NR1D2,O15534_Q14995,0.1576
PER1_PER2,O15534_O15055,0.1509
PER1_PER3,O15534_P56645,0.1525
PER1_RORB,O15534_Q92753,0.2334
PER1_RORC,O15534_P51449,0.1687
PER2_ARNTL,O15055_O00327,0.1327
PER2_ARNTL2,O15055_Q8WYA1,0.1614
PER2_CLOCK,O15055_O15516,0.1475
PER2_CRY1,O15055_Q16526,0.1478
PER2_CRY2,O15055_Q49AN0,0.1334
PER2_NPAS2,O15055_Q99743,0.1886
PER2_NR1D1,O15055_P20393,0.147
PER2_NR1D2,O15055_Q14995,0.1461
PER2_PER1,O15055_O15534,0.1509
PER2_PER3,O15055_P56645,0.1401
PER2_RORB,O15055_Q92753,0.1559
PER2_RORC,O15055_P51449,0.1532
PER3_ARNTL,P56645_O00327,0.1964
PER3_ARNTL2,P56645_Q8WYA1,0.1711
PER3_CLOCK,P56645_O15516,0.1361
PER3_CRY1,P56645_Q16526,0.1426
PER3_CRY2,P56645_Q49AN0,0.148
PER3_NPAS2,P56645_Q99743,0.2244
PER3_NR1D1,P56645_P20393,0.15
PER3_NR1D2,P56645_Q14995,0.1895
PER3_PER1,P56645_O15534,0.1525
PER3_PER2,P56645_O15055,0.1401
PER3_RORB,P56645_Q92753,0.1738
PER3_RORC,P56645_P51449,0.1414
RORA_CLOCK,P35398_O15516,0.144
RORA_NPAS2,P35398_Q99743,0.11865
RORA_NR1D1,P35398_P20393,0.2842
RORA_NR1D2,P35398_Q14995,0.172
RORA_RORB,P35398_Q92753,0.2795
RORA_RORC,P35398_P51449,0.234
RORB_ARNTL,Q92753_O00327,0.08527
RORB_ARNTL2,Q92753_Q8WYA1,0.0956
RORB_CLOCK,Q92753_O15516,0.11975
RORB_CRY1,Q92753_Q16526,0.1349
RORB_CRY2,Q92753_Q49AN0,0.1589
RORB_NPAS2,Q92753_Q99743,0.0968
RORB_NR1D1,Q92753_P20393,0.1754
RORB_NR1D2,Q92753_Q14995,0.1321
RORB_PER1,Q92753_O15534,0.2334
RORB_PER2,Q92753_O15055,0.1559
RORB_PER3,Q92753_P56645,0.1738
RORB_RORA,Q92753_P35398,0.2795
RORB_RORC,Q92753_P51449,0.1038
RORC_ARNTL,P51449_O00327,0.07025
RORC_ARNTL2,P51449_Q8WYA1,0.05447
RORC_CLOCK,P51449_O15516,0.11804
RORC_CRY1,P51449_Q16526,0.10925
RORC_CRY2,P51449_Q49AN0,0.1608
RORC_NPAS2,P51449_Q99743,0.1192
RORC_NR1D1,P51449_P20393,0.12146
RORC_NR1D2,P51449_Q14995,0.2162
RORC_PER1,P51449_O15534,0.1687
RORC_PER2,P51449_O15055,0.1532
RORC_PER3,P51449_P56645,0.1414
RORC_RORA,P51449_P35398,0.234
RORC_RORB,P51449_Q92753,0.1038
