gene_pairs,uniprot_pairs,score
NR1D2_NCOR1,Q14995_O75376,0.0676
NCOR1_NR1D2,O75376_Q14995,0.0676
PER1_CHEK2,O15534_O96017,0.06573
CHEK2_PER1,O96017_O15534,0.06573
ARNTL_PER2,O00327_O15055,0.06464
PER2_ARNTL,O15055_O00327,0.06464
NR1D2_PER1,Q14995_O15534,0.0641
PER1_NR1D2,O15534_Q14995,0.0641
CRY1_SFPQ,Q16526_P23246,0.06244
SFPQ_CRY1,P23246_Q16526,0.06244
MLH1_PER2,P40692_O15055,0.06064
PER2_MLH1,O15055_P40692,0.06064
ARNTL2_PER1,Q8WYA1_O15534,0.05972
PER1_ARNTL2,O15534_Q8WYA1,0.05972
PER1_PER2,O15534_O15055,0.05957
PER2_PER1,O15055_O15534,0.05957
NCOR1_ARNTL,O75376_O00327,0.059
ARNTL_NCOR1,O00327_O75376,0.059
EZH2_CRY2,Q15910_Q49AN0,0.0543
CRY2_EZH2,Q49AN0_Q15910,0.0543
NR1D1_PER2,P20393_O15055,0.05365
PER2_NR1D1,O15055_P20393,0.05365
EZH2_RORA,Q15910_P35398,0.053
RORA_EZH2,P35398_Q15910,0.053
CREBBP_NPAS2,Q92793_Q99743,0.05164
NPAS2_CREBBP,Q99743_Q92793,0.05164
CLOCK_PER2,O15516_O15055,0.05002
PER2_CLOCK,O15055_O15516,0.05002
NPAS2_CLOCK,Q99743_O15516,0.0497
CLOCK_NPAS2,O15516_Q99743,0.0497
EPAS1_ARNTL,Q99814_O00327,0.0479
ARNTL_EPAS1,O00327_Q99814,0.0479
CLOCK_PER3,O15516_P56645,0.04715
PER3_CLOCK,P56645_O15516,0.04715
RORB_LCK,Q92753_P06239,0.0455
LCK_RORB,P06239_Q92753,0.0455
PER2_NPAS2,O15055_Q99743,0.04468
NPAS2_PER2,Q99743_O15055,0.04468
HIF1A_CLOCK,Q16665_O15516,0.04413
CLOCK_HIF1A,O15516_Q16665,0.04413
HIF1A_PER2,Q16665_O15055,0.04297
PER2_HIF1A,O15055_Q16665,0.04297
CRY2_NONO,Q49AN0_Q15233,0.04132
NONO_CRY2,Q15233_Q49AN0,0.04132
PER3_PER2,P56645_O15055,0.04065
PER2_PER3,O15055_P56645,0.04065
PER2_EZR,O15055_P15311,0.04053
EZR_PER2,P15311_O15055,0.04053
HNRNPA2B1_PER2,P22626_O15055,0.04013
PER2_HNRNPA2B1,O15055_P22626,0.04013
EPAS1_ARNTL2,Q99814_Q8WYA1,0.0384
ARNTL2_EPAS1,Q8WYA1_Q99814,0.0384
EZH2_CLOCK,Q15910_O15516,0.03516
EPAS1_CLOCK,Q99814_O15516,0.03516
CLOCK_EPAS1,O15516_Q99814,0.03516
CLOCK_EZH2,O15516_Q15910,0.03516
ARNTL_PER1,O00327_O15534,0.0338
PER1_ARNTL,O15534_O00327,0.0338
NPAS2_TBL1XR1,Q99743_Q9BZK7,0.03378
TBL1XR1_NPAS2,Q9BZK7_Q99743,0.03378
PER3_NPAS2,P56645_Q99743,0.03107
NPAS2_PER3,Q99743_P56645,0.03107
NPAS2_EPAS1,Q99743_Q99814,0.03032
EPAS1_NPAS2,Q99814_Q99743,0.03032
ARNTL_HIF1A,O00327_Q16665,0.02951
HIF1A_ARNTL,Q16665_O00327,0.02951
EP300_RORA,Q09472_P35398,0.0295
RORA_EP300,P35398_Q09472,0.0295
EZH2_ARNTL,Q15910_O00327,0.02873
ARNTL_EZH2,O00327_Q15910,0.02873
MYOD1_RORA,P15172_P35398,0.02733
ARNTL_PER3,O00327_P56645,0.02733
RORA_MYOD1,P35398_P15172,0.02733
PER3_ARNTL,P56645_O00327,0.02733
NR1D1_NONO,P20393_Q15233,0.02711
NONO_NR1D1,Q15233_P20393,0.02711
CLOCK_PER1,O15516_O15534,0.026
PER1_CLOCK,O15534_O15516,0.026
CREBBP_RORC,Q92793_P51449,0.02573
RORC_CREBBP,P51449_Q92793,0.02573
PER1_PER3,O15534_P56645,0.0253
PER3_PER1,P56645_O15534,0.0253
NR1D1_NR1D2,P20393_Q14995,0.02469
NR1D2_NR1D1,Q14995_P20393,0.02469
NCOR1_NR1D1,O75376_P20393,0.02428
NR1D1_NCOR1,P20393_O75376,0.02428
NPAS2_NONO,Q99743_Q15233,0.02393
NONO_NPAS2,Q15233_Q99743,0.02393
PER2_NONO,O15055_Q15233,0.02391
NONO_PER2,Q15233_O15055,0.02391
RORC_NPAS2,P51449_Q99743,0.0237
NPAS2_RORC,Q99743_P51449,0.0237
RORC_RORB,P51449_Q92753,0.02303
RORB_RORC,Q92753_P51449,0.02303
ARNTL_CREBBP,O00327_Q92793,0.02084
CREBBP_ARNTL,Q92793_O00327,0.02084
NONO_CLOCK,Q15233_O15516,0.02069
CLOCK_NONO,O15516_Q15233,0.02069
CLOCK_CREBBP,O15516_Q92793,0.02068
CREBBP_CLOCK,Q92793_O15516,0.02068
PER2_SFPQ,O15055_P23246,0.02051
SFPQ_PER2,P23246_O15055,0.02051
ARNTL_RORC,O00327_P51449,0.01936
RORC_ARNTL,P51449_O00327,0.01936
RABEP1_CLOCK,Q15276_O15516,0.01897
CLOCK_RABEP1,O15516_Q15276,0.01897
CLOCK_RORB,O15516_Q92753,0.01865
RORB_CLOCK,Q92753_O15516,0.01865
CLOCK_EP300,O15516_Q09472,0.01837
EP300_CLOCK,Q09472_O15516,0.01837
CREBBP_RORA,Q92793_P35398,0.01741
RORA_CREBBP,P35398_Q92793,0.01741
EP300_ARNTL,Q09472_O00327,0.01721
ARNTL_EP300,O00327_Q09472,0.01721
NONO_ARNTL,Q15233_O00327,0.01617
ARNTL_NONO,O00327_Q15233,0.01617
ARNTL_ARNTL2,O00327_Q8WYA1,0.01607
ARNTL2_ARNTL,Q8WYA1_O00327,0.01607
SFPQ_ARNTL,P23246_O00327,0.01555
ARNTL_SFPQ,O00327_P23246,0.01555
RORC_NR1D2,P51449_Q14995,0.01554
NR1D2_RORC,Q14995_P51449,0.01554
ARNTL_TBL1XR1,O00327_Q9BZK7,0.01548
TBL1XR1_ARNTL,Q9BZK7_O00327,0.01548
NR1D2_CLOCK,Q14995_O15516,0.015015
CLOCK_NR1D2,O15516_Q14995,0.015015
ARNTL2_HIF1A,Q8WYA1_Q16665,0.01471
HIF1A_ARNTL2,Q16665_Q8WYA1,0.01471
HIF1A_NPAS2,Q16665_Q99743,0.01466
NPAS2_HIF1A,Q99743_Q16665,0.01466
RORC_EP300,P51449_Q09472,0.01434
EP300_RORC,Q09472_P51449,0.01434
NCOR1_RORB,O75376_Q92753,0.013596
RORB_NCOR1,Q92753_O75376,0.013596
ARNTL2_RORC,Q8WYA1_P51449,0.01333
RORC_ARNTL2,P51449_Q8WYA1,0.01333
NPAS2_EP300,Q99743_Q09472,0.01149
EP300_NPAS2,Q09472_Q99743,0.01149
RORC_NCOR1,P51449_O75376,0.01118
NCOR1_RORC,O75376_P51449,0.01118
CLOCK_RORC,O15516_P51449,0.010605
RORC_CLOCK,P51449_O15516,0.010605
RHOA_ARNTL,P61586_O00327,0.01056
ARNTL_RHOA,O00327_P61586,0.01056
LMNA_PER2,P02545_O15055,0.00955
PER2_LMNA,O15055_P02545,0.00955
RORA_RORB,P35398_Q92753,0.00836
RORB_RORA,Q92753_P35398,0.00836
ARNTL_MAX,O00327_P61244,0.007835
MAX_ARNTL,P61244_O00327,0.007835
LMNA_CRY2,P02545_Q49AN0,0.00559
CRY2_LMNA,Q49AN0_P02545,0.00559
